awakening_id,hero_id,base_form_id,awakened_form_id,name_en,name_vi,unlock_level,unlock_rank,awakening_skill_id,stat_modifier_profile,base_model,awakened_model,base_portrait,awakened_portrait,awakening_animation,awakening_vfx,awakening_sfx,canon_source,canon_confidence,status
awakening-sasori-hiruko,sasori-hiruko,form-sasori-hiruko-puppet,form-sasori-true-body,Sasori True Body,Sasori True Body,60,KAGE,awaken-skill-sasori-hiruko,awakening-balanced-v1,hero/sasori-hiruko/base/prefab,hero/sasori-hiruko/awakened/prefab,hero/sasori-hiruko/base/portrait,hero/sasori-hiruko/awakened/portrait,animation/sasori-hiruko/awakening-transition,vfx/sasori-hiruko/awakening-transition,sfx/sasori-hiruko/awakening-transition,https://naruto.fandom.com/wiki/Sasori,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-sasuke-ems,sasuke-ems,form-sasuke-uchiha-eternal-mangekyo-sharingan,form-sasuke-uchiha-rinnegan,Rinnegan Sasuke,Rinnegan Sasuke,60,KAGE,awaken-skill-sasuke-ems,awakening-balanced-v1,hero/sasuke-ems/base/prefab,hero/sasuke-ems/awakened/prefab,hero/sasuke-ems/base/portrait,hero/sasuke-ems/awakened/portrait,animation/sasuke-ems/awakening-transition,vfx/sasuke-ems/awakening-transition,sfx/sasuke-ems/awakening-transition,https://naruto.fandom.com/wiki/Sasuke_Uchiha;https://naruto.fandom.com/wiki/Rinnegan,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-sasuke-genin,sasuke-genin,form-sasuke-uchiha-genin,form-sasuke-uchiha-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-sasuke-genin,awakening-balanced-v1,hero/sasuke-genin/base/prefab,hero/sasuke-genin/awakened/prefab,hero/sasuke-genin/base/portrait,hero/sasuke-genin/awakened/portrait,animation/sasuke-genin/awakening-transition,vfx/sasuke-genin/awakening-transition,sfx/sasuke-genin/awakening-transition,https://naruto.fandom.com/wiki/Sasuke_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-sasuke-hebi,sasuke-hebi,form-sasuke-uchiha-hebi,form-sasuke-uchiha-mangekyo-sharingan,Mangekyo Sasuke,Mangekyo Sasuke,60,KAGE,awaken-skill-sasuke-hebi,awakening-balanced-v1,hero/sasuke-hebi/base/prefab,hero/sasuke-hebi/awakened/prefab,hero/sasuke-hebi/base/portrait,hero/sasuke-hebi/awakened/portrait,animation/sasuke-hebi/awakening-transition,vfx/sasuke-hebi/awakening-transition,sfx/sasuke-hebi/awakening-transition,https://naruto.fandom.com/wiki/Sasuke_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-shinno-base,shinno-base,form-shinno-doctor,form-shinno-eight-gates-body,Eight Gates Body,Eight Gates Body,60,KAGE,awaken-skill-shinno-base,awakening-balanced-v1,hero/shinno-base/base/prefab,hero/shinno-base/awakened/prefab,hero/shinno-base/base/portrait,hero/shinno-base/awakened/portrait,animation/shinno-base/awakening-transition,vfx/shinno-base/awakening-transition,sfx/shinno-base/awakening-transition,https://naruto.fandom.com/wiki/Shinn%C5%8D,OFFICIAL_MOVIE,PLAYABLE_SCHEMA_BASELINE
awakening-shisui-anbu,shisui-anbu,form-shisui-uchiha-anbu,form-shisui-uchiha-mangekyo-sharingan,Mangekyo Shisui,Mangekyo Shisui,60,KAGE,awaken-skill-shisui-anbu,awakening-balanced-v1,hero/shisui-anbu/base/prefab,hero/shisui-anbu/awakened/prefab,hero/shisui-anbu/base/portrait,hero/shisui-anbu/awakened/portrait,animation/shisui-anbu/awakening-transition,vfx/shisui-anbu/awakening-transition,sfx/shisui-anbu/awakening-transition,https://naruto.fandom.com/wiki/Shisui_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-sora-base,sora-base,form-sora-temple-monk,form-sora-pseudo-jinchuriki,Pseudo Jinchuriki Sora,Pseudo Jinchuriki Sora,60,KAGE,awaken-skill-sora-base,awakening-balanced-v1,hero/sora-base/base/prefab,hero/sora-base/awakened/prefab,hero/sora-base/base/portrait,hero/sora-base/awakened/portrait,animation/sora-base/awakening-transition,vfx/sora-base/awakening-transition,sfx/sora-base/awakening-transition,https://naruto.fandom.com/wiki/Sora,ANIME_ORIGINAL,PLAYABLE_SCHEMA_BASELINE
awakening-tayuya-base,tayuya-base,form-tayuya-sound-four,form-tayuya-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-tayuya-base,awakening-balanced-v1,hero/tayuya-base/base/prefab,hero/tayuya-base/awakened/prefab,hero/tayuya-base/base/portrait,hero/tayuya-base/awakened/portrait,animation/tayuya-base/awakening-transition,vfx/tayuya-base/awakening-transition,sfx/tayuya-base/awakening-transition,https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-toneri-base,toneri-base,form-toneri-otsutsuki-base,form-toneri-otsutsuki-tenseigan-chakra-mode,Tenseigan Chakra Mode,Tenseigan Chakra Mode,60,KAGE,awaken-skill-toneri-base,awakening-balanced-v1,hero/toneri-base/base/prefab,hero/toneri-base/awakened/prefab,hero/toneri-base/base/portrait,hero/toneri-base/awakened/portrait,animation/toneri-base/awakening-transition,vfx/toneri-base/awakening-transition,sfx/toneri-base/awakening-transition,https://naruto.fandom.com/wiki/Toneri_%C5%8Ctsutsuki,OFFICIAL_MOVIE,PLAYABLE_SCHEMA_BASELINE
awakening-ukon-base,ukon-base,form-ukon-sound-four,form-ukon-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-ukon-base,awakening-balanced-v1,hero/ukon-base/base/prefab,hero/ukon-base/awakened/prefab,hero/ukon-base/base/portrait,hero/ukon-base/awakened/portrait,animation/ukon-base/awakening-transition,vfx/ukon-base/awakening-transition,sfx/ukon-base/awakening-transition,https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-utakata-base,utakata-base,form-utakata-base,form-utakata-six-tails-cloak,Six-Tails Cloak,Six-Tails Cloak,60,KAGE,awaken-skill-utakata-base,awakening-balanced-v1,hero/utakata-base/base/prefab,hero/utakata-base/awakened/prefab,hero/utakata-base/base/portrait,hero/utakata-base/awakened/portrait,animation/utakata-base/awakening-transition,vfx/utakata-base/awakening-transition,sfx/utakata-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-yagura-base,yagura-base,form-yagura-karatachi-mizukage,form-yagura-karatachi-three-tails-cloak,Three-Tails Cloak,Three-Tails Cloak,60,KAGE,awaken-skill-yagura-base,awakening-balanced-v1,hero/yagura-base/base/prefab,hero/yagura-base/awakened/prefab,hero/yagura-base/base/portrait,hero/yagura-base/awakened/portrait,animation/yagura-base/awakening-transition,vfx/yagura-base/awakening-transition,sfx/yagura-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-yugito-base,yugito-base,form-yugito-nii-base,form-yugito-nii-two-tails-cloak,Two-Tails Cloak,Two-Tails Cloak,60,KAGE,awaken-skill-yugito-base,awakening-balanced-v1,hero/yugito-base/base/prefab,hero/yugito-base/awakened/prefab,hero/yugito-base/base/portrait,hero/yugito-base/awakened/portrait,animation/yugito-base/awakening-transition,vfx/yugito-base/awakening-transition,sfx/yugito-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
